[[1.0, 0.0, 0.0, 0.0], [0.0, 1.0, 0.0, 0.0], [0.0, 0.0, 1.0, 0.0], [0.0, 0.0, 0.0, 0.0]]
[[1.0, 0.0, 0.0, 0.0], [0.0, 1.0, 0.0, 0.0], [0.0, 0.0, 1.0, 0.0], [13468.4111328125, 120000.046875, -14886.7109375, 0.0]]
[[1.0, 0.0, 0.0, 0.0], [0.0, 1.0, 0.0, 0.0], [0.0, 0.0, 1.0, 0.0], [0.0, 0.0, 0.0, 0.0]]
[[1.0, 0.0, 0.0, 0.0], [0.0, 1.0, 0.0, 0.0], [0.0, 0.0, 1.0, 0.0], [0.0, 0.0, 0.0, 0.0]]
[[1.0, 0.0, 0.0, 4.203895392974451e-45], [0.0, 1.0, 0.0, -107374176.0], [0.0, 0.0, 1.0, -107374176.0], [4950.0, -231.36001586914062, 5929.080078125, -107374176.0]]
[[1.0, 0.0, 0.0, 4.203895392974451e-45], [0.0, 1.0, 0.0, -107374176.0], [0.0, 0.0, 1.0, -107374176.0], [5808.0, -229.20001220703125, 5131.2001953125, -107374176.0]]
[[1.0, 0.0, 0.0, 0.0], [0.0, 1.0, 0.0, 0.0], [0.0, 0.0, 1.0, 0.0], [4288.18017578125, -229.43360900878906, 5182.46826171875, 0.0]]
[[0.6156615018844604, 0.0, 0.7880107164382935, 4.203895392974451e-45], [0.0, 1.0, 0.0, -107374176.0], [-0.7880107164382935, 0.0, 0.6156615018844604, -107374176.0], [6367.68017578125, -229.20001220703125, 4601.0400390625, -107374176.0]]
[[1.0, 0.0, 0.0, 4.203895392974451e-45], [0.0, 1.0, 0.0, -107374176.0], [0.0, 0.0, 1.0, -107374176.0], [6698.8798828125, -231.1199951171875, 5341.080078125, -107374176.0]]
[[1.0, 0.0, 0.0, 4.203895392974451e-45], [0.0, 1.0, 0.0, -107374176.0], [0.0, 0.0, 1.0, -107374176.0], [4620.0, 396.0, 5640.0, -107374176.0]]
[[1.0, 0.0, 0.0, 0.0], [0.0, 1.0, 0.0, 0.0], [0.0, 0.0, 1.0, 0.0], [4807.52099609375, 291.8798522949219, 5467.41064453125, 0.0]]
[[1.0, 0.0, 0.0, 4.203895392974451e-45], [0.0, 1.0, 0.0, -107374176.0], [0.0, 0.0, 1.0, -107374176.0], [4620.0, 276.0, 5640.0, -107374176.0]]
[[0.0, 0.0, 1.0000005960464478, 0.0], [0.0, 0.9999998807907104, 0.0, 0.0], [-1.000001311302185, 0.0, 0.0, 0.0], [6376.580078125, 451.7220764160156, 5379.44384765625, 0.0]]
[[0.6098682284355164, 0.0, 0.7925028204917908, 4.203895392974451e-45], [0.0, 1.0, 0.0, -107374176.0], [-0.7925028204917908, 0.0, 0.6098682284355164, -107374176.0], [6460.56005859375, 483.239990234375, 4741.43994140625, -107374176.0]]
[[0.0, -1.000001072883606, 0.0, 0.0], [-0.9848086833953857, 0.0, -0.17364835739135742, 0.0], [0.1736486256122589, 0.0, -0.9848098754882812, 0.0], [4654.3662109375, 746.3688354492188, 5512.88134765625, 0.0]]
[[1.0, 0.0, 0.0, 4.203895392974451e-45], [0.0, 1.0, 0.0, -107374176.0], [0.0, 0.0, 1.0, -107374176.0], [4620.0, 516.0, 5640.0, -107374176.0]]
[[0.0, 0.0, -0.9999992251396179, 0.0], [0.0, 0.9999991059303284, 0.0, 0.0], [0.9999995827674866, 0.0, 0.0, 0.0], [5237.19921875, 649.6680908203125, 4852.5400390625, 0.0]]
[[0.0, 0.0, -1.000002384185791, 0.0], [0.0, 0.9999988675117493, 0.0, 0.0], [1.000002384185791, 0.0, 0.0, 0.0], [3703.526123046875, -32.502254486083984, 6327.037109375, 0.0]]
[[1.0, 0.0, 0.0, 0.0], [0.0, 1.0, 0.0, 0.0], [0.0, 0.0, 1.0, 0.0], [4739.02685546875, 435.4225158691406, 5317.8798828125, 0.0]]
[[1.0, 0.0, 0.0, 0.0], [0.0, 1.0, 0.0, 0.0], [0.0, 0.0, 1.0, 0.0], [-50767.14453125, 425.0406188964844, -50514.8125, 0.0]]
[[1.0, 0.0, 0.0, 0.0], [0.0, 1.0, 0.0, 0.0], [0.0, 0.0, 1.0, 0.0], [-12609.9306640625, 1.1706346273422241, 6975.92529296875, 0.0]]
[[1.0, 0.0, 0.0, 0.0], [0.0, 1.0, 0.0, 0.0], [0.0, 0.0, 1.0, 0.0], [-12595.9873046875, 0.6930314302444458, 8819.669921875, 0.0]]
[[1.0, 0.0, 0.0, 0.0], [0.0, 1.0, 0.0, 0.0], [0.0, 0.0, 1.0, 0.0], [-12338.6611328125, 0.9856143593788147, 8200.1630859375, 0.0]]
[[1.0, 0.0, 0.0, 0.0], [0.0, 1.0, 0.0, 0.0], [0.0, 0.0, 1.0, 0.0], [-12692.14453125, 1.0339488983154297, 9650.2314453125, 0.0]]
[[1.0, 0.0, 0.0, 0.0], [0.0, 1.0, 0.0, 0.0], [0.0, 0.0, 1.0, 0.0], [-54526.125, -126.85162353515625, -46007.73046875, 0.0]]
[[1.0, 0.0, 0.0, 0.0], [0.0, 1.0, 0.0, 0.0], [0.0, 0.0, 1.0, 0.0], [-11688.130859375, 1.1571636199951172, 9693.23046875, 0.0]]
[[1.0, 0.0, 0.0, 0.0], [0.0, 1.0, 0.0, 0.0], [0.0, 0.0, 1.0, 0.0], [5098.5087890625, -47.18319320678711, 7317.13916015625, 0.0]]
[[1.0, 0.0, 0.0, 0.0], [0.0, 1.0, 0.0, 0.0], [0.0, 0.0, 1.0, 0.0], [3724.40380859375, 263.4339599609375, 4274.39501953125, 0.0]]
[[1.0, 0.0, 0.0, 0.0], [0.0, 1.0, 0.0, 0.0], [0.0, 0.0, 1.0, 0.0], [4745.40478515625, 606.30224609375, 5184.83544921875, 0.0]]
[[1.0, 0.0, 0.0, 0.0], [0.0, 1.0, 0.0, 0.0], [0.0, 0.0, 1.0, 0.0], [-54261.5234375, -126.8519515991211, -47124.03125, 0.0]]
[[1.0, 0.0, 0.0, 0.0], [0.0, 1.0, 0.0, 0.0], [0.0, 0.0, 1.0, 0.0], [4361.724609375, -42.612548828125, 8535.78515625, 0.0]]
[[-0.9135469198226929, 0.0, -0.4067373275756836, 0.0], [0.0, 0.9999985694885254, 0.0, 0.0], [0.4067373275756836, 0.0, -0.9135469198226929, 0.0], [8559.05078125, -731.31689453125, 22665.205078125, 0.0]]
[[0.7193412184715271, 0.0, -0.6946597099304199, 0.0], [0.0, 0.9999985098838806, 0.0, 0.0], [0.6946597099304199, 0.0, 0.7193412184715271, 0.0], [7161.30224609375, -799.2201538085938, 24077.380859375, 0.0]]
[[-0.9659275412559509, 0.0, 0.25881943106651306, 0.0], [0.0, 0.9999985694885254, 0.0, 0.0], [-0.25881943106651306, 0.0, -0.9659275412559509, 0.0], [8645.1953125, -706.1636352539062, 22528.78125, 0.0]]
[[-0.22495131194591522, 0.0, -0.9743714928627014, 0.0], [0.0, 0.9999982118606567, 0.0, 0.0], [0.9743714928627014, 0.0, -0.22495131194591522, 0.0], [-12144.298828125, 48.00837707519531, 8071.330078125, 0.0]]
[[-0.9135469198226929, 0.0, -0.4067373275756836, 0.0], [0.0, 0.9999985694885254, 0.0, 0.0], [0.4067373275756836, 0.0, -0.9135469198226929, 0.0], [8779.66015625, -692.4932861328125, 22479.904296875, 0.0]]
[[-0.9902698993682861, 0.0, -0.13917338848114014, 0.0], [0.0, 0.9999985098838806, 0.0, 0.0], [0.13917338848114014, 0.0, -0.9902698993682861, 0.0], [8732.4013671875, -742.9326171875, 22810.841796875, 0.0]]
[[0.7193412184715271, 0.0, -0.6946597099304199, 0.0], [0.0, 0.9999985098838806, 0.0, 0.0], [0.6946597099304199, 0.0, 0.7193412184715271, 0.0], [8482.87109375, -745.84814453125, 22797.06640625, 0.0]]
[[-0.5000009536743164, 0.0, -0.8660274744033813, 0.0], [0.0, 0.9999983906745911, 0.0, 0.0], [0.8660274744033813, 0.0, -0.5000009536743164, 0.0], [7265.95703125, -793.911865234375, 24043.947265625, 0.0]]
[[-0.9135469198226929, 0.0, -0.4067373275756836, 0.0], [0.0, 0.9999985694885254, 0.0, 0.0], [0.4067373275756836, 0.0, -0.9135469198226929, 0.0], [5564.25830078125, -32.47251892089844, 7233.44384765625, 0.0]]
[[-0.9945243000984192, 0.0, 0.10452864319086075, 0.0], [0.0, 0.9999988675117493, 0.0, 0.0], [-0.10452864319086075, 0.0, -0.9945243000984192, 0.0], [5475.01123046875, -46.7130241394043, 7253.3515625, 0.0]]
[[-0.9135480523109436, 0.0, 0.40673771500587463, 0.0], [0.0, 0.9999983310699463, 0.0, 0.0], [-0.40673771500587463, 0.0, -0.9135480523109436, 0.0], [5509.73388671875, -47.09343719482422, 7316.998046875, 0.0]]
[[-0.9135469198226929, 0.0, -0.4067373275756836, 0.0], [0.0, 0.9999985694885254, 0.0, 0.0], [0.4067373275756836, 0.0, -0.9135469198226929, 0.0], [-54196.6328125, -61.54218292236328, -46420.234375, 0.0]]
[[0.6691318154335022, 0.0, 0.7431464791297913, 0.0], [0.0, 0.9999983310699463, 0.0, 0.0], [-0.7431464791297913, 0.0, 0.6691318154335022, 0.0], [-54228.30078125, -126.85174560546875, -46348.21875, 0.0]]
[[0.7986370325088501, 0.0, 0.6018162965774536, 0.0], [0.0, 0.9999983310699463, 0.0, 0.0], [-0.6018162965774536, 0.0, 0.7986370325088501, 0.0], [-54152.83984375, -126.85167694091797, -46336.26953125, 0.0]]
[[0.087156280875206, 0.0, -0.9961971044540405, 0.0], [0.0, 0.9999989867210388, 0.0, 0.0], [0.9961971044540405, 0.0, 0.087156280875206, 0.0], [-12670.216796875, 1.0032131671905518, 7180.29638671875, 0.0]]
[[0.087156280875206, 0.0, -0.9961971044540405, 0.0], [0.0, 0.9999989867210388, 0.0, 0.0], [0.9961971044540405, 0.0, 0.087156280875206, 0.0], [-12742.52734375, 0.8923259973526001, 7166.28857421875, 0.0]]
[[-0.06975667178630829, 0.0, -0.9975669980049133, 0.0], [0.0, 0.9999991059303284, 0.0, 0.0], [0.9975669980049133, 0.0, -0.06975667178630829, 0.0], [-12783.8017578125, 0.9038413166999817, 7120.0361328125, 0.0]]
[[-0.06975667178630829, 0.0, -0.9975669980049133, 0.0], [0.0, 0.9999991059303284, 0.0, 0.0], [0.9975669980049133, 0.0, -0.06975667178630829, 0.0], [-12853.5400390625, 0.9061290621757507, 7113.96826171875, 0.0]]
